card_id,name,variant,rarity,supertype,subtypes,set_id,set_name,release_date,artist,market_price,date_observed
hgss4-1,Aggron,holofoil,Rare Holo,Pokémon,Stage 2,hgss4,HS—Triumphant,2010/11/03,Kagemaru Himeno,5.99,2026-01-25
hgss4-1,Aggron,reverseHolofoil,Rare Holo,Pokémon,Stage 2,hgss4,HS—Triumphant,2010/11/03,Kagemaru Himeno,4.73,2026-01-25
xy5-1,Weedle,normal,Common,Pokémon,Basic,xy5,Primal Clash,2015/02/04,Midori Harada,0.12,2026-01-25
xy5-1,Weedle,reverseHolofoil,Common,Pokémon,Basic,xy5,Primal Clash,2015/02/04,Midori Harada,0.49,2026-01-25
pl1-1,Ampharos,holofoil,Rare Holo,Pokémon,Stage 2,pl1,Platinum,2009/02/11,Atsuko Nishida,31.16,2026-01-25
pl1-1,Ampharos,reverseHolofoil,Rare Holo,Pokémon,Stage 2,pl1,Platinum,2009/02/11,Atsuko Nishida,15.29,2026-01-25
dp3-1,Ampharos,holofoil,Rare Holo,Pokémon,Stage 2,dp3,Secret Wonders,2007/11/01,Kouki Saitou,25.1,2026-01-25
dp3-1,Ampharos,reverseHolofoil,Rare Holo,Pokémon,Stage 2,dp3,Secret Wonders,2007/11/01,Kouki Saitou,24.43,2026-01-25
det1-1,Bulbasaur,holofoil,Common,Pokémon,Basic,det1,Detective Pikachu,2019/04/05,MPC Film,0.61,2026-01-25
dv1-1,Dratini,holofoil,Rare Holo,Pokémon,Basic,dv1,Dragon Vault,2012/10/05,Masakazu Fukuda,2.4,2026-01-25
mcd19-1,Caterpie,holofoil,Unknown,Pokémon,Basic,mcd19,McDonald's Collection 2019,2019/10/15,Sekio,10.57,2026-01-25
pl3-1,Absol G,holofoil,Rare Holo,Pokémon,"Basic,SP",pl3,Supreme Victors,2009/08/19,Yusuke Ishikawa,17.23,2026-01-25
pl3-1,Absol G,reverseHolofoil,Rare Holo,Pokémon,"Basic,SP",pl3,Supreme Victors,2009/08/19,Yusuke Ishikawa,13.41,2026-01-25
ex12-1,Aerodactyl,holofoil,Rare Holo,Pokémon,Stage 1,ex12,Legend Maker,2006/02/01,Hajime Kusajima,60.95,2026-01-25
ex12-1,Aerodactyl,reverseHolofoil,Rare Holo,Pokémon,Stage 1,ex12,Legend Maker,2006/02/01,Hajime Kusajima,59.83,2026-01-25
ex3-1,Absol,holofoil,Rare Holo,Pokémon,Basic,ex3,Dragon,2003/11/24,Naoyo Kimura,395.0,2026-01-25
ex3-1,Absol,reverseHolofoil,Rare Holo,Pokémon,Basic,ex3,Dragon,2003/11/24,Naoyo Kimura,89.76,2026-01-25
ru1-1,Venusaur,holofoil,Unknown,Pokémon,Stage 2,ru1,Pokémon Rumble,2009/12/02,Pokemon Rumble,233.31,2026-01-25
base4-1,Alakazam,holofoil,Rare Holo,Pokémon,Stage 2,base4,Base Set 2,2000/02/24,Ken Sugimori,44.44,2026-01-25
hgss1-1,Arcanine,holofoil,Rare Holo,Pokémon,Stage 1,hgss1,HeartGold & SoulSilver,2010/02/10,Naoki Saito,46.05,2026-01-25
hgss1-1,Arcanine,reverseHolofoil,Rare Holo,Pokémon,Stage 1,hgss1,HeartGold & SoulSilver,2010/02/10,Naoki Saito,37.98,2026-01-25
ex11-1,Beedrill δ,holofoil,Rare Holo,Pokémon,Stage 2,ex11,Delta Species,2005/10/31,Masakazu Fukuda,35.62,2026-01-25
ex11-1,Beedrill δ,reverseHolofoil,Rare Holo,Pokémon,Stage 2,ex11,Delta Species,2005/10/31,Masakazu Fukuda,34.99,2026-01-25
ex7-1,Azumarill,holofoil,Rare Holo,Pokémon,Stage 1,ex7,Team Rocket Returns,2004/11/01,Sumiyoshi Kizuki,25.99,2026-01-25
ex7-1,Azumarill,reverseHolofoil,Rare Holo,Pokémon,Stage 1,ex7,Team Rocket Returns,2004/11/01,Sumiyoshi Kizuki,50.5,2026-01-25
gym1-1,Blaine's Moltres,unlimitedHolofoil,Rare Holo,Pokémon,Basic,gym1,Gym Heroes,2000/08/14,Ken Sugimori,91.66,2026-01-25
base3-1,Aerodactyl,1stEditionHolofoil,Rare Holo,Pokémon,Stage 1,base3,Fossil,1999/10/10,Kagemaru Himeno,73.16,2026-01-25
base3-1,Aerodactyl,unlimitedHolofoil,Rare Holo,Pokémon,Stage 1,base3,Fossil,1999/10/10,Kagemaru Himeno,28.95,2026-01-25
sm9-1,Celebi & Venusaur-GX,holofoil,Rare Holo GX,Pokémon,"Basic,TAG TEAM,GX",sm9,Team Up,2019/02/01,Mitsuhiro Arita,44.7,2026-01-25
xy2-1,Caterpie,normal,Common,Pokémon,Basic,xy2,Flashfire,2014/05/07,Sumiyoshi Kizuki,0.32,2026-01-25
xy2-1,Caterpie,reverseHolofoil,Common,Pokémon,Basic,xy2,Flashfire,2014/05/07,Sumiyoshi Kizuki,0.59,2026-01-25
pop6-1,Bastiodon,normal,Rare,Pokémon,Stage 2,pop6,POP Series 6,2007/09/01,Kazuyuki Kano,1.67,2026-01-25
hgss4-2,Altaria,holofoil,Rare Holo,Pokémon,Stage 1,hgss4,HS—Triumphant,2010/11/03,Ryo Ueda,6.47,2026-01-25
hgss4-2,Altaria,reverseHolofoil,Rare Holo,Pokémon,Stage 1,hgss4,HS—Triumphant,2010/11/03,Ryo Ueda,6.11,2026-01-25
pl1-2,Blastoise,holofoil,Rare Holo,Pokémon,Stage 2,pl1,Platinum,2009/02/11,Kagemaru Himeno,34.26,2026-01-25
pl1-2,Blastoise,reverseHolofoil,Rare Holo,Pokémon,Stage 2,pl1,Platinum,2009/02/11,Kagemaru Himeno,29.92,2026-01-25
ex3-2,Altaria,holofoil,Rare Holo,Pokémon,Stage 1,ex3,Dragon,2003/11/24,Atsuko Nishida,48.87,2026-01-25
ex3-2,Altaria,reverseHolofoil,Rare Holo,Pokémon,Stage 1,ex3,Dragon,2003/11/24,Atsuko Nishida,26.66,2026-01-25
dp3-2,Blastoise,holofoil,Rare Holo,Pokémon,Stage 2,dp3,Secret Wonders,2007/11/01,Daisuke Ito,82.07,2026-01-25
dp3-2,Blastoise,reverseHolofoil,Rare Holo,Pokémon,Stage 2,dp3,Secret Wonders,2007/11/01,Daisuke Ito,89.97,2026-01-25
base3-2,Articuno,1stEditionHolofoil,Rare Holo,Pokémon,Basic,base3,Fossil,1999/10/10,Mitsuhiro Arita,163.52,2026-01-25
base3-2,Articuno,unlimitedHolofoil,Rare Holo,Pokémon,Basic,base3,Fossil,1999/10/10,Mitsuhiro Arita,43.92,2026-01-25
pl3-2,Blaziken FB,holofoil,Rare Holo,Pokémon,"Basic,SP",pl3,Supreme Victors,2009/08/19,Motofumi Fujiwara,15.23,2026-01-25
